NAMESPACE            NAME                                                                  READY   STATUS      RESTARTS        AGE
opa                  pod/cray-opa-ingressgateway-hmn-2mwmk                                 1/1     Running     0               2d10h
opa                  pod/cray-opa-ingressgateway-hmn-gj65t                                 1/1     Running     0               2d11h
opa                  pod/cray-opa-ingressgateway-hmn-gpx6m                                 1/1     Running     0               2d8h
opa                  pod/cray-opa-ingressgateway-hmn-gpzjz                                 1/1     Running     0               2d10h
opa                  pod/cray-opa-ingressgateway-hmn-trx9n                                 1/1     Running     0               2d11h
opa                  pod/cray-opa-ingressgateway-sv4zc                                     1/1     Running     0               2d11h
opa                  pod/cray-opa-ingressgateway-x94jn                                     1/1     Running     0               2d8h
operators            pod/cray-kiali-kiali-operator-66645594fc-p5prx                        1/1     Running     0               2d10h
operators            pod/strimzi-cluster-operator-569c45b5d-p5cf7                          1/1     Running     1 (2d6h ago)    2d9h
pki-operator         pod/trustedcerts-operator-f546977cb-hvbtx                             2/2     Running     3 (2d10h ago)   2d10h
pki-operator         pod/trustedcerts-operator-f546977cb-j7jkh                             2/2     Running     2 (2d6h ago)    2d11h
pki-operator         pod/trustedcerts-operator-f546977cb-x7mqq                             2/2     Running     4 (2d6h ago)    2d10h
services             pod/cfs-2c62f80c-ce57-4995-ba5e-1cec52107a9e-zwm6d                    0/3     Completed   0               2d11h
services             pod/cfs-319212e1-0cad-4e2b-907b-9fedec35e082-zzgr7                    0/3     Completed   0               2d10h
services             pod/cfs-41ab5ec8-167d-4b1d-9cdb-8ba0f2b295ec-44nwr                    0/3     Completed   0               2d8h
services             pod/cfs-51e773a9-faba-4ba5-b040-bccc5d54d851-nfq6r                    0/3     Completed   0               2d7h
services             pod/cfs-5e9d9e0d-db80-4b2a-907a-1e0aacab0dc9-4pf64                    0/3     Completed   0               2d6h
services             pod/cfs-7b91e886-3615-47b1-8c53-5f0a2775d977-t8vqg                    0/3     Completed   0               2d7h
services             pod/cfs-9e837c7a-df93-4f06-b77f-d3a6a93f3e4e-qj92f                    0/3     Completed   0               2d10h
services             pod/cfs-ara-7f56fdf8b4-msn4r                                          2/2     Running     0               2d10h
services             pod/cfs-ara-postgres-0                                                3/3     Running     0               2d6h
services             pod/cfs-ara-postgres-1                                                3/3     Running     0               2d6h
