NAMESPACE            NAME                                                              READY   STATUS      RESTARTS        AGE     IP            NODE       NOMINATED NODE   READINESS GATES
metallb-system       metallb-speaker-cdcdv                                             1/1     Running     0               4d10h   10.252.1.13   ncn-w004   <none>           <none>
metallb-system       metallb-speaker-fq8mh                                             1/1     Running     0               4d7h    10.252.1.11   ncn-m002   <none>           <none>
metallb-system       metallb-speaker-mlqr4                                             1/1     Running     1 (10h ago)     4d7h    10.252.1.10   ncn-m003   <none>           <none>
metallb-system       metallb-speaker-nk44l                                             1/1     Running     0               12d     10.252.1.12   ncn-m001   <none>           <none>
metallb-system       metallb-speaker-z6gcb                                             1/1     Running     1 (45h ago)     4d12h   10.252.1.9    ncn-w001   <none>           <none>
nexus                cray-precache-images-8hdmn                                        1/1     Running     1 (22h ago)     4d11h   10.34.0.9     ncn-w002   <none>           <none>
nexus                cray-precache-images-9xddc                                        1/1     Running     1 (45h ago)     4d12h   10.36.0.5     ncn-w001   <none>           <none>
nexus                cray-precache-images-gqndd                                        1/1     Running     0               4d11h   10.44.0.6     ncn-w003   <none>           <none>
nexus                cray-precache-images-jxv9h                                        1/1     Running     0               4d10h   10.41.0.1     ncn-w004   <none>           <none>
nexus                cray-precache-images-xtzjk                                        1/1     Running     0               16h     10.46.0.12    ncn-w005   <none>           <none>
nexus                nexus-84f59cbb6-pssnc                                             2/2     Running     0               47h     10.41.0.84    ncn-w004   <none>           <none>
opa                  cray-opa-ingressgateway-8pw9f                                     1/1     Running     0               4d10h   10.41.0.5     ncn-w004   <none>           <none>
opa                  cray-opa-ingressgateway-9jpjm                                     1/1     Running     0               16h     10.46.0.9     ncn-w005   <none>           <none>
opa                  cray-opa-ingressgateway-9qs2m                                     1/1     Running     0               4d11h   10.44.0.7     ncn-w003   <none>           <none>
opa                  cray-opa-ingressgateway-customer-admin-bmrht                      1/1     Running     1 (45h ago)     4d12h   10.36.0.3     ncn-w001   <none>           <none>
opa                  cray-opa-ingressgateway-customer-admin-ggrcp                      1/1     Running     1 (22h ago)     4d11h   10.34.0.5     ncn-w002   <none>           <none>
opa                  cray-opa-ingressgateway-customer-admin-j475x                      1/1     Running     0               16h     10.46.0.1     ncn-w005   <none>           <none>
opa                  cray-opa-ingressgateway-customer-admin-jcp2r                      1/1     Running     0               4d10h   10.41.0.6     ncn-w004   <none>           <none>
opa                  cray-opa-ingressgateway-customer-admin-p6psv                      1/1     Running     0               4d11h   10.44.0.8     ncn-w003   <none>           <none>
opa                  cray-opa-ingressgateway-customer-user-768w7                       1/1     Running     1 (22h ago)     4d11h   10.34.0.1     ncn-w002   <none>           <none>
opa                  cray-opa-ingressgateway-customer-user-9b4vb                       1/1     Running     0               4d11h   10.44.0.4     ncn-w003   <none>           <none>
opa                  cray-opa-ingressgateway-customer-user-glbm7                       1/1     Running     1 (45h ago)     4d12h   10.36.0.6     ncn-w001   <none>           <none>
opa                  cray-opa-ingressgateway-customer-user-lt5zd                       1/1     Running     0               16h     10.46.0.11    ncn-w005   <none>           <none>
